Date,Actual_Target,Predicted_Target,Forward_Return,ML_Signal,ML_Strategy_Return,Market_Return,Cumulative_Market,Cumulative_ML_Strategy,Up_Probability,ML_Strategy,Cumulative_Strategy
2025-07-24,0,1,-0.01507588005996574,0,-0.01507588005996574,-0.01507588005996574,0.9849241199400343,0.9849241199400343,0.5431488039546805,-0.0,1.0
2025-07-25,0,1,-0.017453581805596752,0,-0.017453581805596752,-0.017453581805596752,0.9677336662403555,0.9677336662403555,0.5497191677086043,-0.0,1.0
2025-07-28,0,1,-0.027853337398630718,0,-0.027853337398630718,-0.027853337398630718,0.940779053922549,0.940779053922549,0.538497993697688,-0.0,1.0
2025-07-29,0,1,-0.014919411003113114,1,-0.014919411003113114,-0.014919411003113114,0.9267431845539585,0.9267431845539585,0.5676562407254375,-0.014919411003113114,0.9850805889968869
2025-07-30,1,1,0.003093718184430827,1,0.003093718184430827,0.003093718184430827,0.9296102667963104,0.9296102667963104,0.5751973205031843,0.003093718184430827,0.9881281507281964
2025-07-31,1,1,0.013541812905326633,1,0.013541812905326633,0.013541812905326633,0.9421988751041368,0.9421988751041368,0.5841228897973559,0.013541812905326633,1.001509197271844
2025-08-01,1,1,0.013605549368627345,1,0.013605549368627345,0.013605549368627345,0.9550180084144313,0.9550180084144313,0.5828959038285126,0.013605549368627345,1.0151352800984603
2025-08-04,1,1,0.0066012923149607605,1,0.0066012923149607605,0.0066012923149607605,0.9613223614540266,0.9613223614540266,0.5536938359733432,0.0066012923149607605,1.02183648482162
2025-08-05,1,1,0.00798685090113982,0,0.00798685090113982,0.00798685090113982,0.9690002998228916,0.9690002998228916,0.5466092138383138,0.0,1.02183648482162
2025-08-06,1,1,0.005940509047946518,1,0.005940509047946518,0.005940509047946518,0.9747566548714524,0.9747566548714524,0.5512324337987281,0.005940509047946518,1.0279067137052247
2025-08-07,0,1,-0.0038341032816170406,0,-0.0038341032816170406,-0.0038341032816170406,0.9710193371822317,0.9710193371822317,0.537343796192254,-0.0,1.0279067137052247
2025-08-08,1,1,3.501756595425398e-05,0,3.501756595425398e-05,3.501756595425398e-05,0.9710533399159142,0.9710533399159142,0.5376341577887335,0.0,1.0279067137052247
2025-08-11,1,1,0.00557526749279047,0,0.00557526749279047,0.00557526749279047,0.976467222035713,0.976467222035713,0.5497355219462507,0.0,1.0279067137052247
2025-08-12,1,1,0.0028313419031829046,1,0.0028313419031829046,0.0028313419031829046,0.9792319345985473,0.9792319345985473,0.5604391118864074,0.0028313419031829046,1.0308170690563012
2025-08-13,1,0,0.002528731008867968,1,0.0,0.002528731008867968,0.9817081487564404,0.9792319345985473,0.5571318346418344,0.002528731008867968,1.0334237281432943
2025-08-14,0,0,-0.0038038826981299234,1,-0.0,-0.0038038826981299234,0.9779738461147727,0.9792319345985473,0.5503042148910376,-0.0038038826981299234,1.029492705503973
2025-08-15,0,1,-0.0007568148377861128,1,-0.0007568148377861128,-0.0007568148377861128,0.9772337009970663,0.9784908373408091,0.5571644662913137,-0.0007568148377861128,1.028713570149055
2025-08-18,0,0,-0.004684121917309825,0,-0.0,-0.004684121917309825,0.9726562191998922,0.9784908373408091,0.5289174468525378,-0.0,1.028713570149055
2025-08-19,0,1,-0.00473809453753693,0,-0.00473809453753693,-0.00473809453753693,0.9680476820807998,0.9738546552493746,0.5275546697647637,-0.0,1.028713570149055
2025-08-20,1,1,0.005761145798989675,0,0.005761145798989675,0.005761145798989675,0.9736247459176414,0.9794651739052911,0.5092735715628792,0.0,1.028713570149055
2025-08-21,0,1,-0.002858137312135467,0,-0.002858137312135467,-0.002858137312135467,0.9708419927033157,0.9766657279458151,0.5068470971887415,-0.0,1.028713570149055
2025-08-22,1,1,0.002269718895042905,0,0.002269718895042905,0.002269718895042905,0.9730455311182555,0.9788824846026746,0.5382314443143165,0.0,1.028713570149055
2025-08-25,0,1,-0.005264831778876711,0,-0.005264831778876711,-0.005264831778876711,0.9679226100837302,0.9737288329899526,0.522658288224456,-0.0,1.028713570149055
2025-08-26,1,1,0.0054319286717310344,0,0.0054319286717310344,0.0054319286717310344,0.9731802966614607,0.9790180585563619,0.5379487275519265,0.0,1.028713570149055
2025-08-27,1,1,0.0045013000000202474,0,0.0045013000000202474,0.0045013000000202474,0.9775608731308426,0.9834249125433615,0.5475292260240758,0.0,1.028713570149055
2025-08-28,1,1,0.005834503717168982,0,0.005834503717168982,0.005834503717168982,0.9832644556788834,0.9891627088511523,0.5482841218610336,0.0,1.028713570149055
2025-08-29,0,1,-0.003897970069606904,0,-0.003897970069606904,-0.003897970069606904,0.9794317202601388,0.9853069822180792,0.538388903960074,-0.0,1.028713570149055
2025-09-01,0,0,-0.002681846155853762,0,-0.0,-0.002681846155853762,0.976805035066238,0.9853069822180792,0.5313487307928151,-0.0,1.028713570149055
2025-09-02,0,1,-0.005035805787940828,0,-0.005035805787940828,-0.005035805787940828,0.9718860346169617,0.9803451676141269,0.5369519186398668,-0.0,1.028713570149055
2025-09-03,1,1,0.00662964452639403,1,0.00662964452639403,0.00662964452639403,0.9783292935466388,0.9868445075885768,0.5564205164315863,0.00662964452639403,1.035533575438621
2025-09-04,1,1,0.009321071946787773,0,0.009321071946787773,0.009321071946787773,0.9874483712794371,0.9960429562441022,0.5421852737363623,0.0,1.035533575438621
2025-09-05,1,1,0.0039320846655037656,1,0.0039320846655037656,0.0039320846655037656,0.9913311018781216,0.9999594814785326,0.5535512736667003,0.0039320846655037656,1.0396053811312176
2025-09-08,0,0,-0.0008309825297245776,0,-0.0,-0.0008309825297245776,0.9905073230512882,0.9999594814785326,0.535342719193018,-0.0,1.0396053811312176
2025-09-09,0,0,-0.002921905499293942,0,-0.0,-0.002921905499293942,0.9876131542569737,0.9999594814785326,0.5216508525154808,-0.0,1.0396053811312176
2025-09-10,1,1,0.0020287302263486406,0,0.0020287302263486406,0.0020287302263486406,0.9896167549149544,1.001988129503732,0.5357023267831624,0.0,1.0396053811312176
2025-09-11,1,1,0.005152505924846951,0,0.005152505924846951,0.005152505924846951,0.9947157611079815,1.0071508792776263,0.528353223380535,0.0,1.0396053811312176
2025-09-12,1,1,0.011645783852203495,0,0.011645783852203495,0.011645783852203495,1.0063000058562253,1.0188799407242501,0.5390351303465463,0.0,1.0396053811312176
2025-09-15,1,0,0.00851488284818358,0,0.0,0.00851488284818358,1.0148685325162174,1.0188799407242501,0.5187105799703225,0.0,1.0396053811312176
2025-09-16,1,1,0.0023228292916048776,0,0.0023228292916048776,0.0023228292916048776,1.0172258988706742,1.021246624895193,0.5160295849725454,0.0,1.0396053811312176
2025-09-17,0,1,-0.011326149959547172,0,-0.011326149959547172,-0.011326149959547172,1.0057046457973298,1.0096798324759486,0.5035569202465088,-0.0,1.0396053811312176
2025-09-18,0,1,-0.002135947892144996,0,-0.002135947892144996,-0.002135947892144996,1.0035565130790185,1.0075232089660302,0.5182901014613831,-0.0,1.0396053811312176
2025-09-19,1,1,0.001984822658036567,0,0.001984822658036567,0.001984822658036567,1.0055483947847978,1.0095229638596837,0.5271338009728485,0.0,1.0396053811312176
2025-09-22,1,1,0.0006577512059111612,0,0.0006577512059111612,0.0006577512059111612,1.0062097954540696,1.0101869788065574,0.5403610023904185,0.0,1.0396053811312176
2025-09-23,0,1,-0.01172103863401086,0,-0.01172103863401086,-0.01172103863401086,0.9944159715676323,0.998346538200391,0.516225247522997,-0.0,1.0396053811312176
2025-09-24,0,1,-0.008991904904319337,0,-0.008991904904319337,-0.008991904904319337,0.9854742777159599,0.9893695010673367,0.5178154674339945,-0.0,1.0396053811312176
2025-09-25,0,1,-0.0011262523162470783,0,-0.0011262523162470783,-0.0011262523162470783,0.9843643850280803,0.9882552213751353,0.5304285936103385,-0.0,1.0396053811312176
2025-09-26,1,1,0.006266921464778363,1,0.006266921464778363,0.006266921464778363,0.9905333193217761,0.9944485392346505,0.5508631931181074,0.006266921464778363,1.046120506409128
2025-09-29,1,1,0.002205959613813535,1,0.002205959613813535,0.002205959613813535,0.9927183958203366,0.996642252550218,0.5527380860805641,0.002205959613813535,1.0484282059974486
2025-09-30,0,1,-0.0005392718336502123,0,-0.0005392718336502123,-0.0005392718336502123,0.9921830507507243,0.9961047914551919,0.5390726820624683,-0.0,1.0484282059974486
2025-10-01,0,0,-0.0019911132275253207,0,-0.0,-0.0019911132275253207,0.9902075019542481,0.9961047914551919,0.5381970889781178,-0.0,1.0484282059974486
2025-10-02,0,0,-0.0020258569280324767,0,-0.0,-0.0020258569280324767,0.9882014832262244,0.9961047914551919,0.5435792777574604,-0.0,1.0484282059974486
2025-10-03,0,0,-0.006013883448130697,0,-0.0,-0.006013883448130697,0.982258554682832,0.9961047914551919,0.5437746526747944,-0.0,1.0484282059974486
2025-10-06,0,0,-0.0068745062412329805,1,-0.0,-0.0068745062412329805,0.9755060121181603,0.9961047914551919,0.5525377342050924,-0.0068745062412329805,1.0412207797518345
2025-10-07,0,0,-0.012283549083958678,1,-0.0,-0.012283549083958678,0.9635233361366101,0.9961047914551919,0.5774953607609601,-0.012283549083958678,1.0284308931965152
2025-10-08,0,1,-0.004478453121180337,1,-0.004478453121180337,-0.004478453121180337,0.959208242044559,0.9916437828428767,0.5786996907741236,-0.004478453121180337,1.023825113652961
2025-10-09,0,0,-0.005598303435097152,1,-0.0,-0.005598303435097152,0.9538383032481474,0.9916437828428767,0.5771649685152347,-0.005598303435097152,1.0180934300022588
2025-10-10,1,1,0.003097817953801485,1,0.003097817953801485,0.003097817953801485,0.9567931206689732,0.9947157147571429,0.5787471401088368,0.003097817953801485,1.0212472981083671
2025-10-13,1,0,0.003785033832997664,1,0.0,0.003785033832997664,0.9604146150018846,0.9947157147571429,0.5870841042566844,0.003785033832997664,1.0251127536835647
2025-10-14,1,1,0.011477307006831916,1,0.011477307006831916,0.011477307006831916,0.9714375883921096,1.006132372399931,0.5949301867487459,0.011477307006831916,1.0368782874742097
2025-10-15,1,1,0.004756237559327081,1,0.004756237559327081,0.004756237559327081,0.9760579763365622,1.0109177769791944,0.575653327185599,0.004756237559327081,1.0418099269295453
2025-10-16,0,1,-0.0001630560782917012,0,-0.0001630560782917012,-0.0001630560782917012,0.9758988241507555,1.0107529406910047,0.5476662055369552,-0.0,1.0418099269295453
2025-10-17,0,1,-0.008479941131020907,0,-0.008479941131020907,-0.008479941131020907,0.9676232595721246,1.0021818152559387,0.5458645255970599,-0.0,1.0418099269295453
2025-10-20,0,1,-0.004202277046367997,1,-0.004202277046367997,-0.004202277046367997,0.9635570385588929,0.9979703696174013,0.5608905675482964,-0.004202277046367997,1.037431952986931
2025-10-21,0,0,-0.002265446580341557,1,-0.0,-0.002265446580341557,0.9613741515609255,0.9979703696174013,0.5644837170045017,-0.002265446580341557,1.0350817063166997
2025-10-22,1,1,0.0026985610688685657,1,0.0026985610688685657,0.0026985610688685657,0.9639684784189444,1.0006634536047352,0.5713768247115713,0.0026985610688685657,1.037874937512464
2025-10-23,1,1,0.0037285284594505974,1,0.0037285284594505974,0.0037285284594505974,0.9675626623247428,1.0043944557698326,0.5680168095967659,0.0037285284594505974,1.0417446837543298
2025-10-24,1,1,0.0034273818908683307,1,0.0034273818908683307,0.0034273818908683307,0.9708788690718749,1.0078368991388267,0.5637755562346003,0.0034273818908683307,1.0453151406183379
2025-10-27,0,1,-0.002436619204433499,1,-0.002436619204433499,-0.002436619204433499,0.9685132069743158,1.0053811843954483,0.5600045860024616,-0.002436619204433499,1.0427681056720222
2025-10-28,0,1,-0.006804548056014381,0,-0.006804548056014381,-0.006804548056014381,0.9619229123145744,0.9985400198116169,0.5447146758985271,-0.0,1.0427681056720222
2025-10-29,0,1,-0.011136043526925876,0,-0.011136043526925876,-0.011136043526925876,0.951210896893492,0.9874202346876173,0.5380063898231922,-0.0,1.0427681056720222
2025-10-30,0,1,-0.007257132178371317,0,-0.007257132178371317,-0.007257132178371317,0.9443078336852289,0.9802543955288908,0.5349191327005872,-0.0,1.0427681056720222
2025-10-31,0,1,-0.00751157149760362,1,-0.00751157149760362,-0.00751157149760362,0.9372145978767551,0.9728911445510353,0.5505845687505733,-0.00751157149760362,1.034935278490846
2025-11-03,0,1,-0.002713221541601807,1,-0.002713221541601807,-0.002713221541601807,0.9346717270406922,0.9702514753400058,0.5525009784477269,-0.002713221541601807,1.032127269799081
2025-11-04,1,0,0.002610173550358752,1,0.0,0.002610173550358752,0.937111382460882,0.9702514753400058,0.564171015759384,0.002610173550358752,1.0348213010993146
2025-11-05,1,1,0.005079312228450927,1,0.005079312228450927,0.005079312228450927,0.9418712637652361,0.9751796855233729,0.5844455781535647,0.005079312228450927,1.0400774815882499
2025-11-06,1,0,0.005258505513944467,1,0.0,0.005258505513944467,0.9468240989991714,0.9751796855233729,0.6012688744281542,0.005258505513944467,1.045546734760111
2025-11-07,1,0,0.003314038001560826,1,0.0,0.003314038001560826,0.9499619100440483,0.9751796855233729,0.5738134990884226,0.003314038001560826,1.0490117163715138
2025-11-10,1,0,0.004184761063092957,1,0.0,0.004184761063092957,0.9539372736566221,0.9751796855233729,0.572237274327123,0.004184761063092957,1.0534015797569136
2025-11-11,1,1,0.006467318535242184,1,0.006467318535242184,0.006467318535242184,0.960106689868,0.9814864831787499,0.5571208482336351,0.006467318535242184,1.0602142633187288
2025-11-12,1,1,0.0024042497506244764,0,0.0024042497506244764,0.0024042497506244764,0.962415026137688,0.9838462218111736,0.5497947988136455,0.0,1.0602142633187288
2025-11-13,0,1,-0.0001391369662032682,1,-0.0001391369662032682,-0.0001391369662032682,0.9622811186307227,0.9837093324326603,0.5515068337083233,-0.0001391369662032682,1.0600667483226052
2025-11-14,0,1,-0.004366135562652196,0,-0.004366135562652196,-0.004366135562652196,0.9580796688174004,0.9794143241330132,0.5439430624906242,-0.0,1.0600667483226052
2025-11-17,0,1,-0.0064280786538277734,1,-0.0064280786538277734,-0.0064280786538277734,0.9519210573496089,0.9731185718228006,0.5542296595471154,-0.0064280786538277734,1.05325255588608
2025-11-18,0,1,-0.004832931154746589,1,-0.004832931154746589,-0.004832931154746589,0.9473204884146846,0.9684155567597756,0.5618082885980431,-0.004832931154746589,1.0481622587949215
2025-11-19,0,1,-0.006352138487756509,1,-0.006352138487756509,-0.006352138487756509,0.9413029774799854,0.9622640470295397,0.5507908987191873,-0.006352138487756509,1.0415041869694166
2025-11-20,0,1,-0.0017856580269134392,1,-0.0017856580269134392,-0.0017856580269134392,0.9396221322624907,0.9605457725099512,0.553242132033809,-0.0017856580269134392,1.0396444166578906
2025-11-21,1,0,0.0026251854093390925,0,0.0,0.0026251854093390925,0.9420888145743983,0.9605457725099512,0.5416063471297561,0.0,1.0396444166578906
2025-11-24,1,1,0.008214302177963262,0,0.008214302177963262,0.008214302177963262,0.9498274167757916,0.9684359857411131,0.5472927059103975,0.0,1.0396444166578906
2025-11-25,1,1,0.006925167052335146,0,0.006925167052335146,0.006925167052335146,0.9564051303078519,0.9751425667218632,0.5321281042690629,0.0,1.0396444166578906
2025-11-26,1,1,0.0031672079864850655,0,0.0031672079864850655,0.0031672079864850655,0.9594342642748782,0.9782310460471462,0.5232500277484124,0.0,1.0396444166578906
2025-11-27,1,1,0.0004759272464238684,0,0.0004759272464238684,0.0004759272464238684,0.9598908851823993,0.9786966128552578,0.5271405562391621,0.0,1.0396444166578906
